title,popularity,release_date,vote_average,vote_count
Dragon Ball Super: Broly,8.498,2018-12-14,7.9,2906
Bad Genius,26.749,2017-05-03,7.9,780
El Infierno,37.913,2010-09-03,7.894,671
La Maison en Petits Cubes,10.414,2008-06-10,7.893,431
Rebecca,22.568,1940-03-23,7.9,1753
Gone Girl,117.195,2014-10-01,7.892,18582
Coraline,120.755,2009-02-05,7.892,8092
Nimona,30.697,2023-06-23,7.9,1094
The Greatest Showman,61.218,2017-12-20,7.9,9406
Yi Yi,18.486,2000-09-20,7.9,534
The Notebook,93.23,2004-06-25,7.889,11510
Invisible Life,22.081,2019-08-30,7.884,306
Wish Dragon,85.701,2021-01-15,7.883,1339
Ben-Hur,61.397,1959-11-18,7.883,2752
A Whisker Away,39.098,2020-06-18,7.9,1370
La Jetée,10.64,1962-02-16,7.9,886
Justice League: The Flashpoint Paradox,24.468,2013-07-30,7.88,1824
Mamma Roma,6.444,1962-09-22,7.9,403
Winter Light,10.343,1963-02-11,7.9,443
The Battle of Algiers,16.156,1966-09-08,7.9,765
Roman Holiday,28.168,1953-08-26,7.878,2030
Dancer in the Dark,19.293,2000-09-01,7.9,1781
Little Women,41.164,2019-12-25,7.877,6250
Young Frankenstein,27.591,1974-12-15,7.9,3111
Kill Bill: Vol. 2,47.393,2004-04-16,7.877,13857
We Are the Nobles,17.471,2013-03-28,7.9,496
Regular Show: The Movie,24.343,2015-09-01,7.874,374
Finch,37.973,2021-11-04,7.9,3494
Sing Street,27.255,2016-03-11,7.873,2271
The Night of the Hunter,22.898,1955-08-26,7.9,1606
Mr. Smith Goes to Washington,16.548,1939-10-19,7.9,1044
I'm No Longer Here,11.783,2019-10-21,7.872,486
Just Mercy,21.072,2019-12-25,7.872,2242
Wild Tales,23.945,2014-08-21,7.872,3367
Faust,12.361,1926-10-13,7.9,347
Vincent,5.532,1982-10-01,7.9,852
Umberto D.,7.897,1952-01-20,7.871,673
Perfect Strangers,26.65,2016-02-11,7.9,4360
An Egg Rescue,22.174,2021-08-12,7.9,407
A Bronx Tale,43.019,1993-10-01,7.864,2473
Sing 2,98.309,2021-12-01,7.863,4382
The Cameraman,7.739,1928-09-10,7.9,368
Redeeming Love,115.896,2022-01-21,7.862,533
Downfall,21.122,2004-09-16,7.9,3829
Emilia Pérez,112.136,2024-08-21,7.845,384
A Beautiful Mind,65.056,2001-12-14,7.858,10172
Fargo,54.125,1996-03-08,7.858,8047
Stand by Me,34.486,1986-08-08,7.9,5860
Paper Moon,12.461,1973-05-09,7.9,713
Her,62.242,2013-12-18,7.9,14233
Mary and Max,47.605,2009-04-09,7.9,1974
Werckmeister Harmonies,7.771,2001-02-01,7.9,326
The Breadwinner,16.706,2017-11-17,7.9,831
Isle of Dogs,27.167,2018-03-23,7.852,4875
Indiana Jones and the Last Crusade,57.006,1989-05-24,7.852,10093
Shoplifters,16.896,2018-06-02,7.851,2035
See You Up There,8.56,2017-10-25,7.85,1270
The Theory of Everything,26.096,2014-11-26,7.85,10505
Tampopo,10.856,1985-11-23,7.8,349
Dances with Wolves,45.171,1990-03-30,7.85,4212
Warrior,80.658,2011-09-09,7.849,4548
Ivan's Childhood,15.683,1962-05-09,7.852,725
Departures,12.94,2008-09-13,7.8,825
Knives Out,66.231,2019-11-27,7.846,12378
Close to the Horizon,14.268,2019-10-10,7.8,482
Raya and the Last Dragon,70.952,2021-03-03,7.845,6781
Sherlock: The Abominable Bride,24.43,2016-01-01,7.8,2238
Feast,9.143,2014-10-25,7.845,850
Joint Security Area,14.751,2000-09-09,7.8,698
"Monsters, Inc.",107.357,2001-11-01,7.845,18435
